what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1327180975780
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1327180975780
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1327180975781
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1327180975782
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1327180975782
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1327180975784
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1327180975785
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1327180975785
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1327180975786
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1327180975786
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327180975786
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327180975787
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327180975787
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327180975787
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327180975787
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327180975788
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327180975788
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1327180975791
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327180975792
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327180975792
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1327180975793
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1327180975793
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1327180975794
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1327180975794
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1327180975795
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1327180975796
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1327180975796
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1327180975797
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1327180975798
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327180975798
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327180975798
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327180975799
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327180975800
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327180975819
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327180975820
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327180975821
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1327180975821
os,sysinfo,,,"win32",1327180975824
arch,sysinfo,,,"x86_64",1327180975824
ws,sysinfo,,,"win32",1327180975825
locale,sysinfo,,,"en_US",1327180975825
processors,sysinfo,,,"2",1327180975825
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327180975825
java.runtime.version,sysinfo,,,"1.7.0-b147",1327180975825
java.specification.name,sysinfo,,,"Java Platform API Specification",1327180975825
java.specification.vendor,sysinfo,,,"Oracle Corporation",1327180975825
java.specification.version,sysinfo,,,"1.7",1327180975825
java.vendor,sysinfo,,,"Oracle Corporation",1327180975825
java.version,sysinfo,,,"1.7.0",1327180975825
java.vm.info,sysinfo,,,"mixed mode",1327180975825
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327180975825
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327180975825
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1327180975825
java.vm.specification.version,sysinfo,,,"1.7",1327180975825
java.vm.vendor,sysinfo,,,"Oracle Corporation",1327180975825
java.vm.version,sysinfo,,,"21.0-b17",1327180975825
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1327180975829
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1327180975883
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1327180982665
